Rk.,player_id,player,pitches,total,pitch %,downward movement w/ gravity (in),glove/arm-side movement (in),whiff_percent,pitch (MPH),spin (RPM),vertical release pt (ft),extension (ft),
53,542881,"Anderson, Tyler LHP",909,2431,37.4,15.1,5.0,19.3,90.1,2218,6.37,6.2,Graphs
54,450203,"Morton, Charlie RHP",902,2842,31.7,19.5,13.3,22.5,94.9,2307,5.45,6.2,Graphs
55,641360,"Bickford, Phil RHP",873,1229,71,15.4,5.7,30,93.7,2353,5.09,6.9,Graphs
56,448179,"Hill, Rich LHP",865,2531,34.2,17.6,6.3,21.8,88.4,2203,5.91,6.3,Graphs
57,592791,"Taillon, Jameson RHP",863,2533,34.1,14.2,7.7,20.4,93.7,2329,6,6.7,Graphs
58,543475,"Lyles, Jordan RHP",860,2817,30.5,16.5,6.1,15.4,91.2,2250,5.94,6.9,Graphs
59,657756,"Seabold, Connor RHP",850,1562,54.4,18.6,9.4,18.6,92.6,2096,5.65,6.1,Graphs
60,518876,"Kelly, Merrill RHP",842,2803,30,17.4,7.4,25.9,92.2,2345,5.45,6.2,Graphs
61,628711,"Urías, Julio LHP",833,1849,45.1,14.9,3.9,21.8,92.7,2444,6.01,5.6,Graphs
62,571945,"Eovaldi, Nathan RHP",831,2232,37.2,16.7,12.5,18.3,95.1,2168,5.41,6.9,Graphs
63,543135,"Mikolas, Miles RHP",831,3197,26,16.3,5.6,18.9,93.3,2275,6.56,6.4,Graphs
64,676710,"Crawford, Kutter RHP",823,2099,39.2,12.4,9.4,25.8,93.6,2488,5.98,6.2,Graphs
65,547179,"Lorenzen, Michael RHP",821,2367,34.7,14.8,11.8,17.1,94.3,2452,5.77,5.8,Graphs
66,607192,"Glasnow, Tyler RHP",819,1894,43.2,12.7,1.0,24.9,96.4,2489,6.04,7.5,Graphs
67,671737,"Bradley, Taj RHP",817,1821,44.9,10.9,4.9,19.1,96.1,2292,6.13,6.4,Graphs
68,656605,"Keller, Mitch RHP",814,3119,26.1,15.2,9.0,30.2,95.2,2377,5.83,6.6,Graphs
69,665622,"Medina, Luis RHP",808,1945,41.5,13.3,5.9,12.1,96.1,2324,6.26,6.4,Graphs
70,666214,"Wentz, Joey LHP",803,1930,41.6,16.1,12.1,19,93.4,2222,6.16,6.4,Graphs
71,660261,"Fujinami, Shintaro RHP",794,1404,56.6,14.3,11.1,25.5,98.4,2014,5.52,6.9,Graphs
72,625643,"López, Reynaldo RHP",775,1205,64.3,11.9,8.9,27.1,98.2,2189,5.81,6.5,Graphs
73,640448,"Finnegan, Kyle RHP",774,1106,70,13.9,11.1,21.2,97.3,2036,5.71,6.7,Graphs
74,668909,"Williams, Gavin RHP",767,1386,55.3,13.9,9.8,24.9,95.7,2218,5.84,7.5,Graphs
75,663623,"Irvin, Jake RHP",765,2147,35.6,15.6,10.5,19.2,94.5,2333,5.97,6.8,Graphs
76,543243,"Gray, Sonny RHP",764,2818,27.1,19,0.5,16.4,92.9,2537,5.52,6.5,Graphs
77,663556,"McClanahan, Shane LHP",763,1821,41.9,11.8,9.9,23.3,96.8,2242,6.23,7,Graphs
78,607625,"Lugo, Seth RHP",757,2377,31.8,14.5,6.5,21.4,93.4,2267,5.69,6.1,Graphs
79,669467,"Pallante, Andre RHP",757,1139,66.5,20.6,2.8,14,96.1,2236,5.96,6.5,Graphs
80,518886,"Kimbrel, Craig RHP",754,1122,67.2,14.7,10.5,30.6,95.8,2357,4.76,6.9,Graphs
81,608032,"Estévez, Carlos RHP",753,1127,66.8,12.1,8.6,28.5,97.1,2179,5.79,6.4,Graphs
82,666205,"Muller, Kyle LHP",752,1454,51.7,18,5.6,16.1,93.5,2410,6.04,6.5,Graphs
83,477132,"Kershaw, Clayton LHP",747,2026,36.9,15.1,0.1,9.7,90.7,2325,6.14,6.5,Graphs
84,608717,"Stratton, Chris RHP",742,1357,54.7,16.1,3.5,24.6,93.1,2542,5.84,6.7,Graphs
85,622663,"Severino, Luis RHP",734,1636,44.9,13.4,7.4,19.6,96.5,2267,6.15,6.2,Graphs
86,694297,"Pfaadt, Brandon RHP",730,1612,45.3,15.7,6.4,17.6,93.7,2469,5.56,6.8,Graphs
87,656288,"Canning, Griffin RHP",726,2177,33.3,14.8,7.4,28.3,94.7,2139,5.81,6.1,Graphs
88,675540,"Curry, Xzavion RHP",723,1495,48.4,13.6,2.8,19.1,92.5,2102,6.09,6.2,Graphs
89,519242,"Sale, Chris LHP",721,1670,43.2,20.3,14.6,23.4,93.9,2208,5.29,6.5,Graphs
90,682227,"Williamson, Brandon LHP",720,1939,37.1,15.3,9.0,17.1,92.8,2149,6.6,6,Graphs
91,669330,"Wells, Tyler RHP",718,1903,37.7,13,4.2,26.6,92.5,2444,6.92,6.3,Graphs
92,623167,"Flexen, Chris RHP",717,1755,40.9,15.7,0.2,17.4,91.9,2117,6.85,6.2,Graphs
93,657571,"Ferguson, Caleb LHP",708,1065,66.5,14.9,6.6,26,95.8,2304,5.74,6.3,Graphs
94,691587,"Pérez, Eury RHP",697,1534,45.4,10.8,9.0,18.7,97.5,2635,6.06,6.9,Graphs
95,642585,"Bautista, Félix RHP",696,988,70.4,7.2,6.8,37.8,99.5,2421,6.95,6.6,Graphs
96,672578,"Hernández, Carlos RHP",692,1251,55.3,11.1,9.8,25.4,99.1,2437,6.04,6.7,Graphs
97,660271,"Ohtani, Shohei RHP",690,2094,33,15.2,4.1,27,96.8,2259,5.68,6.9,Graphs
98,669456,"Bieber, Shane RHP",687,1954,35.2,15.7,9.6,9.3,91.3,2242,5.65,6.8,Graphs
99,607074,"Rodón, Carlos LHP",684,1133,60.4,12.7,6.3,21.7,95.3,2343,6.5,6.3,Graphs
100,674072,"Henry, Tommy LHP",681,1391,49,18.6,6.1,15.5,90.7,2143,5.7,6.7,Graphs
101,693433,"Woo, Bryan RHP",679,1448,46.9,15.4,7.6,30.3,95.1,2207,4.94,6.8,Graphs
102,663776,"Sandoval, Patrick LHP",671,2620,25.6,14.8,4.4,15.6,93,1989,6.18,6.1,Graphs
103,622098,"Smith, Drew RHP",662,1082,61.2,12.4,7.5,24.1,95,2503,5.54,6.1,Graphs
104,664062,"Gonsolin, Tony RHP",657,1664,39.5,16.1,11.1,15.7,92.4,2216,6.07,6,Graphs
105,663567,"Lambert, Peter RHP",646,1450,44.6,15.7,8.3,16.7,93.2,2213,5.98,6.4,Graphs
106,670280,"Bednar, David RHP",641,1105,58,11.7,8.3,30.3,96.6,2452,5.93,6.7,Graphs
107,608379,"Wacha, Michael RHP",639,2221,28.8,13.8,7.3,16.7,92,2050,6.61,6.7,Graphs
108,666142,"Ragans, Cole LHP",636,1586,40.1,13.4,12.4,27.9,96.5,2481,6.35,6.1,Graphs
109,660853,"De Los Santos, Enyel RHP",634,1048,60.5,16.8,11.5,18.8,95.6,2266,5.42,6.2,Graphs
110,669947,"Scholtens, Jesse RHP",629,1447,43.5,15.1,2.7,14,92.8,2058,6.13,7,Graphs
111,668868,"Thompson, Zack LHP",627,1168,53.7,16.2,7.1,20.6,93.6,1804,5.88,6.9,Graphs
112,543518,"McGough, Scott RHP",625,1233,50.7,13.2,8.6,18,93.5,2332,6.01,5.8,Graphs
113,686218,"Sheehan, Emmet RHP",619,1031,60,14.4,11.1,20.2,95.4,2290,5.39,6.7,Graphs
114,621381,"Strahm, Matt LHP",617,1366,45.2,15.4,13.6,31.1,93.4,2446,5.42,6.3,Graphs
115,606160,"Montero, Rafael RHP",615,1253,49.1,14.2,9.1,34.6,96.1,2352,5.12,6.3,Graphs
116,621363,"Poche, Colin LHP",603,927,65,12,1.7,22,92.5,2249,6.32,7.2,Graphs
117,621244,"Berríos, José RHP",599,2937,20.4,15,8.9,27.6,94.3,2227,5.68,6.5,Graphs
118,623149,"Sewald, Paul RHP",593,1037,57.2,18.6,10.5,28.4,92.2,2514,4.38,6.6,Graphs
119,680694,"Bradish, Kyle RHP",592,2639,22.4,17.8,2.9,15,94.5,2383,6.32,6.5,Graphs
120,677960,"Weathers, Ryan LHP",591,1073,55.1,15.5,11.6,20.6,95.1,2211,5.82,5.8,Graphs
121,656271,"Burke, Brock LHP",590,914,64.6,14.6,7.5,19.9,94.7,2251,6.11,7.1,Graphs
122,425844,"Greinke, Zack RHP",589,2219,26.5,18.2,2.9,15.9,89.5,2248,6.29,6,Graphs
123,670950,"Nardi, Andrew LHP",587,958,61.3,14.1,4.6,25.2,94.6,2276,5.95,6.8,Graphs
124,677053,"Richards, Trevor RHP",587,1352,43.4,11.8,7.7,20.9,92.8,2271,6.3,6.3,Graphs
125,641941,"Pagán, Emilio RHP",584,1061,55,12,7.2,24.6,95.8,2545,5.63,6.7,Graphs
126,641729,"Jiménez, Joe RHP",582,936,62.2,12.3,9.0,26.3,95.3,2431,5.88,7.1,Graphs
127,681911,"Vesia, Alex LHP",581,853,68.1,11.4,6.1,28.1,94.4,2361,5.66,6.5,Graphs
128,518617,"Alcantara, Sandy RHP",579,2721,21.3,15.1,11.9,26.7,98,2254,6.05,6,Graphs
129,645261,"Diekman, Jake LHP",579,996,58.1,19.4,17.4,25.8,95.4,2231,5.5,6.5,Graphs
130,640451,"Harvey, Hunter RHP",578,963,60,11.5,7.6,26.5,98.3,2078,5.96,6.3,Graphs
131,663559,"Falter, Bailey LHP",576,1296,44.4,15.1,1.5,15.6,90.7,2029,5.77,7.4,Graphs
132,656945,"Scott, Tanner LHP",572,1208,47.4,13.6,4.0,31.1,96.8,2598,5.17,6.4,Graphs
133,489446,"Yates, Kirby RHP",569,1058,53.8,17.5,13.6,27.7,93.6,2314,5.32,6.1,Graphs
134,676272,"Miller, Bobby RHP",567,1961,28.9,11.3,8.5,20.6,99,2341,6.04,6.9,Graphs
135,593576,"Neris, Héctor RHP",566,1092,51.8,14.2,8.3,29,93,2429,5.99,6.2,Graphs
136,664747,"Díaz, Alexis RHP",564,1162,48.5,17.2,9.4,30.6,94.5,2547,4.58,7.7,Graphs
137,666159,"Manning, Matt RHP",563,1182,47.6,14.8,3.5,18.2,93.4,2136,5.43,7.1,Graphs
138,641482,"Cortes, Nestor LHP",556,1068,52.1,13.3,4.0,24.9,91.6,2273,5.88,6,Graphs
139,592773,"Stanek, Ryne RHP",555,864,64.2,10.5,9.5,24.8,98.2,2346,6.47,5.9,Graphs
140,657508,"Baumann, Mike RHP",550,1071,51.4,12.2,8.1,22.4,96.4,2232,6.11,6.6,Graphs
141,678394,"Bello, Brayan RHP",540,2618,20.6,17,10.0,19.9,95.5,2083,5.36,6.3,Graphs
142,663986,"Stephan, Trevor RHP",538,1128,47.7,15.4,8.4,20.5,94.9,2528,5.73,6.6,Graphs
143,656849,"Peterson, David LHP",535,1966,27.2,17.7,6.4,28.1,92.7,2129,6.11,7.1,Graphs
144,664139,"Gibaut, Ian RHP",534,1214,44,13,5.1,25.7,95.2,2234,5.82,6.9,Graphs
145,674003,"Bradford, Cody LHP",531,974,54.5,14.8,7.7,18.6,90.4,2122,6.1,7.3,Graphs
146,571656,"Fer, Buck RHP",526,1222,43,16.8,11.4,17.3,93.9,2300,5.9,6.1,Graphs
147,663687,"Harris, Hogan LHP",521,1109,47,15.6,10.1,21.7,92.6,2266,6.07,6.3,Graphs
148,471911,"Carrasco, Carlos RHP",512,1587,32.3,19.6,5.5,16.6,92.7,2216,5.82,6.5,Graphs
149,665795,"Cabrera, Edward RHP",503,1802,27.9,13.5,9.2,19.1,96.2,2301,6.18,6.6,Graphs
150,656412,"Merryweather, Julian RHP",502,1228,40.9,11.9,6.3,20.6,98.1,2342,6.08,6.5,Graphs
151,657240,"Faedo, Alex RHP",502,1034,48.5,15.7,9.9,12.4,92.9,2417,6.1,5.8,Graphs
152,621345,"Minter, A.J. LHP",501,1062,47.2,13,6.5,25,95.8,2426,5.79,6.4,Graphs
153,679525,"Marsh, Alec RHP",500,1342,37.3,15.5,8.8,25.8,94.2,2461,5.67,6.4,Graphs
